2012年02月22日	ぐるぐるカーテン	2位	21.1万枚
2012年05月02日	おいでシャンプー	1位	22.1万枚
2012年08月22日	走れ!Bicycle	1位	24.1万枚
2012年12月19日	制服のマネキン	1位	30.6万枚
2013年03月13日	君の名は希望	1位	30.6万枚
2013年07月03日	ガールズルール	1位	45.2万枚
2013年11月27日	バレッタ	1位	42.3万枚
2014年04月02日	気づいたら片想い	1位	54.7万枚
2014年07月09日	夏のFree&Easy	1位	52.7万枚
2014年10月08日	何度目の青空か?	1位	57.8万枚
2015年03月18日	命は美しい	1位	62.1万枚
2015年07月22日	太陽ノック	1位	67.8万枚
2015年10月28日	今、話したい誰かがいる	1位	68.7万枚
2016年03月23日	ハルジオンが咲く頃	1位	82.8万枚
2016年07月27日	裸足でSummer	1位	85.1万枚
2016年11月09日	サヨナラの意味	1位	91.1万枚
2017年03月22日	インフルエンサー	1位	102.8万枚
2017年08月09日	逃げ水	1位	103.6万枚
2017年10月11日	いつかできるから今日できる	1位	96.1万枚
2018年04月25日	シンクロニシティ	1位	130.6万枚
2018年08月08日	ジコチューで行こう!	1位	128.2万枚
2018年11月14日	帰り道は遠回りしたくなる	1位	116.1万枚
2019年05月29日	Sing Out!	1位	120.0万枚
2019年09月04日	夜明けまで強がらなくてもいい	1位	114.3万枚
2020年03月25日	しあわせの保護色	1位	111.5万枚
2021年01月27日	僕は僕を好きになる	1位	71.5万枚
2021年06月09日	ごめんねFingers crossed	1位	59.0万枚
2021年09月22日	タイトル未定	TBA	
